Register_Address,Register_Name,Value,Expected
0x0,GPU_OVERT_INT,00,0x00
0x1,NVSW_OVERT_INT,00,0x00
0x2,GPU_PWRGD_INT,00,0x00
0x3,GPU_PRSNT_INT,00,0x00
0x4,GPIOA_INT,00,0x00
0x5,GPIOB_INT,80,0x00
0x6,GPIOC_INT,00,0x00
0x7,GPIOD_INT,00,0x00
0x8,GPIOE_INT,00,0x00
0x9,GPIOF_INT,00,0x00
0xA,GPIOG_INT,00,0x00
0xB,GPIOH_INT,60,0x00
0xC,GPIOI_INT,00,0x00
0x0D,GPIOJ_INT,00,0x00
0x0E,GPIOK_INT,00,0x00
0x0F,INTERNAL_1,00,0x00
0x10,INTERNAL_2,00,0x00
0x11,INTERNAL_3,00,0x00
0x12,INTERNAL_4,00,0x00
0x13,GPU_PWRGD_INT_MASK,00,0x00
0x14,GPU_PWRGD_GPI,FF,0xff
0x15,GPU_PRSNT_INT_MASK,00,0x00
0x16,GPU_PRSNT_GPI,00,0x00
0x17,GPU_OVERT_INT_MASK,00,0x00
0x18,GPU_OVERT_GPI,FF,0xff
0x19,NVSW_OVERT_INT_MASK,00,0x00
0x1A,NVSW_OVERT_GPI,FF,0xff
0x1B,GPIOA_INT_MASK,00,0x00
0x1C,GPIOA_GPI,7F,0xff
0x1D,GPIOB_INT_MASK,00,0x00
0x1E,GPIOB_GPI,40,0xff
0x1F,GPIOC_INT_MASK,00,0x00
0x20,GPIOC_GPI,FF,0xff
0x21,GPIOD_INT_MASK,04,0x00
0x22,GPIOD_GPI,5F,0xff
0x23,GPIOE_INT_MASK,00,0x00
0x24,GPIOE_GPI,FF,0xff
0x25,GPIOF_INT_MASK,00,0x00
0x26,GPIOF_GPI,03,0xf7
0x27,GPIOG_INT_MASK,00,0x00
0x28,GPIOG_GPI,00,0xff
0x29,GPIOH_INT_MASK,00,0x00
0x2A,GPIOH_GPI,9F,0xff
0x2B,GPIOI_INT_MASK,30,0x00
0x2C,GPIOI_GPI,3E,0x0e
0x2D,GPIOJ_INT_MASK,38,0x38
0x2E,GPIOJ_GPI,04,0x04
0x2F,GPIOK_INT_MASK,00,0x00
0x30,GPIOK_GPI,02,0x02
0x31,GPIO_INPUT1,7D,0x7d
0x32,GPIO_INPUT2,0F,0x14
0x33,GPIO_INPUT3,FE,0xfe
0x34,GPIO_INPUT4,A9,0xa9
0x35,GPIO_INPUT5,C0,0xc0
0x36,GPIO_OUTPUT1,2F,0x7f
0x37,GPIO_OUTPUT2,FF,0xff
0x38,GPIO_OUTPUT3,3C,0x3c
0x39,GPIO_OUTPUT4,FF,0xff
0x3A,GPIO_OUTPUT5,47,0xff
0x3B,GPIO_OUTPUT6,55,0xfd
0x3C,GPIO_OUTPUT7,FF,0xff
0x3D,GPIO_OUTPUT8,FF,0xff
0x3E,GPIO_OUTPUT9,33,0xff
0x3F,GPIO_OUTPUT10,FF,0xff
0x40,GPIO_OUTPUT11,FF,0xff
0x41,GPIO_OUTPUT12,81,0x81
